transect,distance,soild13C,soild15N,soilccombust,soilncombust,soilcnratio,moisture
T1,0,-26.99,6.83,52.57,1.28,41.1,5.057
T2,0,-27.34,8.81,52.84,1.49,35.5,4.588
T3,0,-27.62,6.98,52.82,1.67,31.6,5.079
T4,0,-27.3,7.3,50.38,1.77,28.5,6.674
T5,0,-26.75,7.08,42.12,1.79,23.5,2.995
T6,0,-27.24,8.69,49.39,2.35,21,3.905
T7,0,-27.82,9.24,51.65,2,25.8,1.699
T8,0,-26.66,8.91,53.83,1.58,34.1,4.005
T9,0,-27.78,5.77,53.08,1.52,34.9,4.775
T10,0,-26.95,6.39,44.92,1.49,30.2,5.654
T1,25,-26.48,8.3,30.95,0.66,46.9,2.641
T2,25,-27.74,4.26,52.51,0.97,54.1,3.459
T3,25,-26.59,3.56,54.12,1.08,50.1,5.041
T4,25,-26.38,3.79,52.02,1.32,39.4,7.351
T5,25,-27.18,3.71,43.32,1.81,23.9,4.101
T6,25,-28,3.29,52.33,1.68,31.2,2.546
T7,25,-26.54,5.3,26.33,1.15,22.9,1.958
T8,25,-27.35,3.92,52.9,1.65,32.1,4.798
T9,25,-27.09,5.31,37.95,1.75,21.7,3.987
T10,25,-27.54,5.66,51.9,1.71,30.4,5.151
T1,50,-27.16,2.45,51.52,1.05,49.1,4.982
T2,50,-26.28,4.74,42.96,1.18,36.4,4.628
T3,50,-27.4,3.13,50.79,1.32,38.5,4.599
T4,50,-27.27,4.47,52.97,1.34,39.5,7.413
T5,50,-26.57,3.09,37.03,1.62,22.9,1.517
T6,50,-27.71,4.07,30.07,1.44,20.9,4.77
T7,50,-27.22,3.8,48.32,2.24,21.6,4.455
T8,50,-27.24,4.01,54.01,1.41,38.3,4.101
T9,50,-26.18,5.93,42.06,1.43,29.4,3.66
T10,50,-26.74,1.68,53.4,1.21,44.1,4.111
