insectid,measurement,length
1-T1-0-B1,1,9.98
1-T1-0-B1,2,10
1-T1-0-B1,3,9.91
1-T1-0-W1,1,4.44
1-T1-0-W1,2,4.45
1-T1-0-W1,3,4.44
1-T1-0-W2,1,4.07
1-T1-0-W2,2,4.03
1-T1-0-W2,3,4.07
1-T1-0-W3,1,4.58
1-T1-0-W3,2,4.55
1-T1-0-W3,3,4.56
1-T1-0-W4,1,4.27
1-T1-0-W4,2,4.35
1-T1-0-W4,3,4.39
1-T1-0-W5,1,4.92
1-T1-0-W5,2,4.8
1-T1-0-W5,3,4.91
1-T1-0-W6,1,4.92
1-T1-0-W6,2,4.89
1-T1-0-W6,3,4.91
1-T1-0-W7,1,4.44
1-T1-0-W7,2,4.21
1-T1-0-W7,3,4.37
1-T1-0-W8,1,4.88
1-T1-0-W8,2,4.86
1-T1-0-W8,3,4.86
1-T1-0-W9,1,4.82
1-T1-0-W9,2,4.74
1-T1-0-W9,3,4.89
1-T1-0-W10,1,4.76
1-T1-0-W10,2,4.75
1-T1-0-W10,3,4.65
1-T1-25-B1,1,9.24
1-T1-25-B1,2,9.23
1-T1-25-B1,3,9.2
1-T1-25-B2,1,14.88
1-T1-25-B2,2,14.87
1-T1-25-B2,3,14.91
1-T1-25-B3,1,9.14
1-T1-25-B3,2,9.11
1-T1-25-B3,3,9.13
1-T1-50-W1,1,4.72
1-T1-50-W1,2,4.69
1-T1-50-W1,3,4.71
1-T1-50-W2,1,5.24
1-T1-50-W2,2,5.12
1-T1-50-W2,3,5.23
1-T1-50-W3,1,5.01
1-T1-50-W3,2,4.99
1-T1-50-W3,3,5.02
1-T1-50-W4,1,4.93
1-T1-50-W4,2,4.91
1-T1-50-W4,3,4.84
1-T1-50-W5,1,5.07
1-T1-50-W5,2,5.03
1-T1-50-W5,3,5.07
1-T1-50-W6,1,5.14
1-T1-50-W6,2,5.11
1-T1-50-W6,3,5.14
1-T1-50-W7,1,4.65
1-T1-50-W7,2,4.75
1-T1-50-W7,3,4.8
1-T1-50-W8,1,4.75
1-T1-50-W8,2,4.79
1-T1-50-W8,3,4.75
1-T1-50-W9,1,5.03
1-T1-50-W9,2,5.04
1-T1-50-W9,3,5
1-T1-50-W10,1,4.96
1-T1-50-W10,2,4.97
1-T1-50-W10,3,4.97
1-T2-0-B1,1,8.92
1-T2-0-B1,2,8.97
1-T2-0-B1,3,8.88
1-T2-0-B2,1,9.02
1-T2-0-B2,2,9.01
1-T2-0-B2,3,8.87
1-T2-0-W1,1,4.31
1-T2-0-W1,2,4.38
