transect,distance,makeup,trophic,species,bodyd13C,bodyd15N,bodyccombust,bodyncombust,bodycnratio,soild13C,soild15N,soilccombust,soilncombust,soilcnratio,moisture,,,,,,
T1,0,3,Curculionidae,Steremnius carinatus,-26.73,3.46,54.66,7.9,6.9,-26.99,6.83,52.57,1.28,41.1,5.057,,,mean,sd,sqrt(n) n = 10,SE
T10,0,3,Curculionidae,Steremnius carinatus,-25.26,3.55,48.54,8.9,5.5,-26.95,6.39,44.92,1.49,30.2,5.654,,0m,2.90,0.81,3.16227766,0.26
T2,0,3,Curculionidae,Steremnius carinatus,-26.94,2.19,52.44,8.16,6.4,-27.34,8.81,52.84,1.49,35.5,4.588,,25m,2.15,1.70,3.16227766,0.54
T3,0,3,Curculionidae,Steremnius carinatus,-25.98,2.48,52.24,8.43,6.2,-27.62,6.98,52.82,1.67,31.6,5.079,,50m,1.66,1.32,3.16227766,0.42
T4,0,3,Curculionidae,Steremnius carinatus,-25.81,3.75,48.27,8.87,5.4,-27.3,7.3,50.38,1.77,28.5,6.674,,,,,,
T6,0,3,Curculionidae,Steremnius carinatus,-25.87,1.98,49.48,9.09,5.4,-27.24,8.69,49.39,2.35,21,3.905,,,,,,
T7,0,3,Curculionidae,Steremnius carinatus,-25.45,3.65,51.91,8.48,6.1,-27.82,9.24,51.65,2,25.8,1.699,,,,,,
T8,0,3,Curculionidae,Steremnius carinatus,-25.68,2.45,51.12,8.75,5.8,-26.66,8.91,53.83,1.58,34.1,4.005,,,,,,
T9,0,3,Curculionidae,Steremnius carinatus,-25.59,3.77,50.39,8.88,5.7,-27.78,5.77,53.08,1.52,34.9,4.775,,,,,,
T1,25,3,Curculionidae,Steremnius carinatus,-26.15,1.69,53.41,8.19,6.5,-26.48,8.3,30.95,0.66,46.9,2.641,,,,,,
T10,25,3,Curculionidae,Steremnius carinatus,-25.21,1.45,49.75,8.78,5.7,-27.54,5.66,51.9,1.71,30.4,5.151,,,,,,
T2,25,3,Curculionidae,Steremnius carinatus,-25.71,2.21,53.42,8.22,6.5,-27.74,4.26,52.51,0.97,54.1,3.459,,,,,,
T3,25,3,Curculionidae,Steremnius carinatus,-27.51,3.68,54.05,8.4,6.4,-26.59,3.56,54.12,1.08,50.1,5.041,,,,,,
T4,25,3,Curculionidae,Steremnius carinatus,-25.68,-0.92,50.3,8.29,6.1,-26.38,3.79,52.02,1.32,39.4,7.351,,,,,,
T5,25,3,Curculionidae,Steremnius carinatus,-25.7,2.03,49.87,9.06,5.5,-27.18,3.71,43.32,1.81,23.9,4.101,,,,,,
T6,25,3,Curculionidae,Steremnius carinatus,-25.54,3.83,50.04,9.24,5.4,-28,3.29,52.33,1.68,31.2,2.546,,,,,,
T8,25,3,Curculionidae,Steremnius carinatus,-25.4,4.45,49.64,9.06,5.5,-27.35,3.92,52.9,1.65,32.1,4.798,,,,,,
T9,25,3,Curculionidae,Steremnius carinatus,-25.7,3.06,51.31,8.76,5.9,-27.09,5.31,37.95,1.75,21.7,3.987,,,,,,
T1,50,3,Curculionidae,Steremnius carinatus,-26.84,0.01,59.08,8.2,7.2,-27.16,2.45,51.52,1.05,49.1,4.982,,,,,,
T10,50,3,Curculionidae,Steremnius carinatus,-26.34,2,53.09,8.69,6.1,-26.74,1.68,53.4,1.21,44.1,4.111,,,,,,
T2,50,3,Curculionidae,Steremnius carinatus,-25.68,0.05,52.32,8.16,6.4,-26.28,4.74,42.96,1.18,36.4,4.628,,,,,,
T3,50,3,Curculionidae,Steremnius carinatus,-26.29,2.67,50.17,8.51,5.9,-27.4,3.13,50.79,1.32,38.5,4.599,,,,,,
T4,50,3,Curculionidae,Steremnius carinatus,-26.02,2.89,54.58,9.41,5.8,-27.27,4.47,52.97,1.34,39.5,7.413,,,,,,
T5,50,3,Curculionidae,Steremnius carinatus,-25.34,1.49,53.11,8.77,6.1,-26.57,3.09,37.03,1.62,22.9,1.517,,,,,,
T6,50,3,Curculionidae,Steremnius carinatus,-25.69,-0.41,49.74,8.98,5.5,-27.71,4.07,30.07,1.44,20.9,4.77,,,,,,
T7,50,3,Curculionidae,Steremnius carinatus,-25.7,3.09,49.8,9.14,5.5,-27.22,3.8,48.32,2.24,21.6,4.455,,,,,,
T8,50,3,Curculionidae,Steremnius carinatus,-26.24,2.69,53.56,8.45,6.3,-27.24,4.01,54.01,1.41,38.3,4.101,,,,,,
T9,50,3,Curculionidae,Steremnius carinatus,-25.62,2.16,50.73,8.89,5.7,-26.18,5.93,42.06,1.43,29.4,3.66,,,,,,
