InsectID,Sampling Round,Transect,Distance,makeup,bodyd13C,bodyd15N,bodyccombust,bodyncombust,bodycnratio,soild13C,soild15N,soilccombust,soilncombust,soilcnratio,moisture,trophic,species,medianelytronlength
1-T1-0-W7,1,T1,0,3,-26.73,3.46,54.66,7.9,6.9,-26.99,6.83,52.57,1.28,41.1,5.057,Curculionidae,Steremnius carinatus,4.37
1-T1-0-W10,1,T1,0,3,-26.73,3.46,54.66,7.9,6.9,-26.99,6.83,52.57,1.28,41.1,5.057,Curculionidae,Steremnius carinatus,4.75
3-T1-0-W9,3,T1,0,3,-26.73,3.46,54.66,7.9,6.9,-26.99,6.83,52.57,1.28,41.1,5.057,Curculionidae,Steremnius carinatus,4.9
3-T10-0-W2,3,T10,0,3,-25.26,3.55,48.54,8.9,5.5,-26.95,6.39,44.92,1.49,30.2,5.654,Curculionidae,Steremnius carinatus,4.75
3-T10-0-W3,3,T10,0,3,-25.26,3.55,48.54,8.9,5.5,-26.95,6.39,44.92,1.49,30.2,5.654,Curculionidae,Steremnius carinatus,4.75
4-T10-0-W1,4,T10,0,3,-25.26,3.55,48.54,8.9,5.5,-26.95,6.39,44.92,1.49,30.2,5.654,Curculionidae,Steremnius carinatus,5.47
1-T2-0-W3,1,T2,0,3,-26.94,2.19,52.44,8.16,6.4,-27.34,8.81,52.84,1.49,35.5,4.588,Curculionidae,Steremnius carinatus,4.91
1-T2-0-W4,1,T2,0,3,-26.94,2.19,52.44,8.16,6.4,-27.34,8.81,52.84,1.49,35.5,4.588,Curculionidae,Steremnius carinatus,4.71
2-T2-0-W1,2,T2,0,3,-26.94,2.19,52.44,8.16,6.4,-27.34,8.81,52.84,1.49,35.5,4.588,Curculionidae,Steremnius carinatus,5.66
1-T3-0-W8,1,T3,0,3,-25.98,2.48,52.24,8.43,6.2,-27.62,6.98,52.82,1.67,31.6,5.079,Curculionidae,Steremnius carinatus,5.01
3-T3-0-W3,3,T3,0,3,-25.98,2.48,52.24,8.43,6.2,-27.62,6.98,52.82,1.67,31.6,5.079,Curculionidae,Steremnius carinatus,5.38
3-T3-0-W7,3,T3,0,3,-25.98,2.48,52.24,8.43,6.2,-27.62,6.98,52.82,1.67,31.6,5.079,Curculionidae,Steremnius carinatus,5.04
1-T4-0-W3,1,T4,0,3,-25.81,3.75,48.27,8.87,5.4,-27.3,7.3,50.38,1.77,28.5,6.674,Curculionidae,Steremnius carinatus,5.23
2-T4-0-W4,2,T4,0,3,-25.81,3.75,48.27,8.87,5.4,-27.3,7.3,50.38,1.77,28.5,6.674,Curculionidae,Steremnius carinatus,4.87
4-T4-0-W2,4,T4,0,3,-25.81,3.75,48.27,8.87,5.4,-27.3,7.3,50.38,1.77,28.5,6.674,Curculionidae,Steremnius carinatus,4.68
1-T6-0-W2,1,T6,0,3,-25.87,1.98,49.48,9.09,5.4,-27.24,8.69,49.39,2.35,21,3.905,Curculionidae,Steremnius carinatus,5.5
3-T6-0-W7,3,T6,0,3,-25.87,1.98,49.48,9.09,5.4,-27.24,8.69,49.39,2.35,21,3.905,Curculionidae,Steremnius carinatus,5.35
4-T6-0-W1,4,T6,0,3,-25.87,1.98,49.48,9.09,5.4,-27.24,8.69,49.39,2.35,21,3.905,Curculionidae,Steremnius carinatus,5.73
